census;quad;slack_weight;AIC;RMSE;MAE;entropy
1;_quadrat_0;0,0001;621,7417787244391;34,174006863375546;9,27450980392157;4,158935487206831
1;_quadrat_0;0,0002;621,741845525323;34,174006863375546;9,27450980392157;4,158935241454182
1;_quadrat_0;0,0003;621,741866330694;34,174006863375546;9,27450980392157;4,158935168421278
1;_quadrat_0;0,0004;621,7418451583944;34,174006863375546;9,27450980392157;4,158935225883533
1;_quadrat_0;0,0005;621,7256730146495;34,174006863375546;9,27450980392157;4,158988507546395
1;_quadrat_0;0,0006;621,7418733684497;34,174006863375546;9,27450980392157;4,158935146558893
1;_quadrat_0;0,0007;621,7433325392869;34,174006863375546;9,27450980392157;4,1589302928613066
1;_quadrat_0;0,0008;621,7418628078952;34,174006863375546;9,27450980392157;4,158935188439368
1;_quadrat_0;0,0009;621,7418693089586;34,174006863375546;9,27450980392157;4,15893516822368
1;_quadrat_0;0,001;621,741889217316;34,174006863375546;9,27450980392157;4,158935093625304
1;_quadrat_0;0,002;621,7244344406121;34,174006863375546;9,27450980392157;4,158992479117124
1;_quadrat_0;0,003;621,9508617863054;34,174006863375546;9,27450980392157;4,158249847521235
1;_quadrat_0;0,004;621,7418640731152;34,174006863375546;9,27450980392157;4,15893518449374
1;_quadrat_0;0,005;621,7418874934789;34,174006863375546;9,27450980392157;4,158935105557321
1;_quadrat_0;0,006;621,7418462837142;34,174006863375546;9,27450980392157;4,15893524120979
1;_quadrat_0;0,007;621,7418702508481;34,174006863375546;9,27450980392157;4,158935165394681
1;_quadrat_0;0,008;621,7418174408738;34,174006863375546;9,27450980392157;4,1589353604625945
1;_quadrat_0;0,009;621,9969934572058;34,174006863375546;9,27450980392157;4,158100264725644
1;_quadrat_0;0,01;621,7418956196101;34,174006863375546;9,27450980392157;4,158935067695022
1;_quadrat_0;0,02;621,7418594970076;34,174006863375546;9,27450980392157;4,158935188228788
1;_quadrat_0;0,03;621,7418719708699;34,174006863375546;9,27450980392157;4,158935148942079
1;_quadrat_0;0,04;621,741881708595;34,174006863375546;9,27450980392157;4,158935121823784
1;_quadrat_0;0,05;621,7433538663125;34,174006863375546;9,27450980392157;4,158930280467557
1;_quadrat_0;0,06;621,741852516833;34,174006863375546;9,27450980392157;4,158935218547279
1;_quadrat_0;0,07;621,9501640446983;34,174006863375546;9,27450980392157;4,158248773192359
1;_quadrat_0;0,08;621,7418555543585;34,174006863375546;9,27450980392157;4,158935215501767
1;_quadrat_0;0,09;621,7418677420682;34,174006863375546;9,27450980392157;4,15893517282776
1;_quadrat_0;0,1;621,741868758125;34,174006863375546;9,27450980392157;4,158935173087776
1;_quadrat_0;0,2;621,74192348886;34,174006863375546;9,27450980392157;4,158934957581264
1;_quadrat_0;0,3;403,5382200512062;2,137434782860144;1,1176470588235294;6,622625467049054
1;_quadrat_0;0,4;403,5382194702094;2,137434782860144;1,1176470588235294;6,622625466711308
1;_quadrat_0;0,5;403,5382196299103;2,137434782860144;1,1176470588235294;6,622625466744097
1;_quadrat_0;0,6000000000000001;403,5382184608951;2,137434782860144;1,1176470588235294;6,622625465152792
1;_quadrat_0;0,7000000000000001;403,5382185327228;2,137434782860144;1,1176470588235294;6,6226254660378965
1;_quadrat_0;0,8;403,5382194465581;2,137434782860144;1,1176470588235294;6,622625466628652
1;_quadrat_0;0,9;403,5382185398129;2,137434782860144;1,1176470588235294;6,622625465684277
1;_quadrat_0;1,0;403,53821853354106;2,137434782860144;1,1176470588235294;6,622625465102993
1;_quadrat_0;2,0;403,5382186136708;2,137434782860144;1,1176470588235294;6,622625466871146
1;_quadrat_0;3,0;403,538218722803;2,137434782860144;1,1176470588235294;6,6226254668622575
1;_quadrat_0;4,0;403,53821956325305;2,137434782860144;1,1176470588235294;6,622625466765756
1;_quadrat_0;5,0;403,5382186681918;2,137434782860144;1,1176470588235294;6,622625466458897
1;_quadrat_0;6,0;403,53822062171326;2,137434782860144;1,1176470588235294;6,622625468958681
1;_quadrat_0;7,0;403,5382186654561;2,137434782860144;1,1176470588235294;6,622625465439121
1;_quadrat_0;8,0;403,5382204787514;2,137434782860144;1,1176470588235294;6,622625468657104
1;_quadrat_0;9,0;403,5382186179237;2,137434782860144;1,1176470588235294;6,6226254656591
1;_quadrat_0;10,0;403,53821861102114;2,137434782860144;1,1176470588235294;6,622625464819464
1;_quadrat_0;20,0;403,5382198619968;2,137434782860144;1,1176470588235294;6,622625467231895
1;_quadrat_0;30,0;403,5382202893463;2,137434782860144;1,1176470588235294;6,622625468510786
1;_quadrat_0;40,0;403,5382186172287;2,137434782860144;1,1176470588235294;6,622625466699396
1;_quadrat_0;50,0;403,5382202529265;2,137434782860144;1,1176470588235294;6,622625467096511
1;_quadrat_0;60,0;403,53821979676985;2,137434782860144;1,1176470588235294;6,622625468929432
1;_quadrat_0;70,0;403,5382197769073;2,137434782860144;1,1176470588235294;6,622625467309054
1;_quadrat_0;80,0;403,5382201817232;2,137434782860144;1,1176470588235294;6,622625468297912
1;_quadrat_0;90,0;403,53821863201966;2,137434782860144;1,1176470588235294;6,622625465204965
1;_quadrat_0;100,0;403,5382186943089;2,137434782860144;1,1176470588235294;6,622625465602891
1;_quadrat_0;200,0;403,5382195954903;2,137434782860144;1,1176470588235294;6,622625467680627
1;_quadrat_0;300,0;403,538219618254;2,137434782860144;1,1176470588235294;6,622625467115747
1;_quadrat_0;400,0;403,5382186574113;2,137434782860144;1,1176470588235294;6,622625464977142
1;_quadrat_0;500,0;403,5382186274253;2,137434782860144;1,1176470588235294;6,622625465356587
1;_quadrat_0;600,0;403,53821862199067;2,137434782860144;1,1176470588235294;6,622625463835443
1;_quadrat_0;700,0;403,538218653922;2,137434782860144;1,1176470588235294;6,6226254660793495
1;_quadrat_0;800,0;403,5382195845837;2,137434782860144;1,1176470588235294;6,622625466376253
1;_quadrat_0;900,0;403,5382186663121;2,137434782860144;1,1176470588235294;6,6226254654992
1;_quadrat_0;1000,0;403,53821860367736;2,137434782860144;1,1176470588235294;6,622625464598645
1;_quadrat_0;2000,0;403,5382186056655;2,137434782860144;1,1176470588235294;6,6226254653016765
1;_quadrat_0;3000,0;403,5382203095799;2,137434782860144;1,1176470588235294;6,622625469096888
1;_quadrat_0;4000,0;403,5382196795188;2,137434782860144;1,1176470588235294;6,622625465781023
1;_quadrat_0;5000,0;403,53822013737454;2,137434782860144;1,1176470588235294;6,622625468292044
1;_quadrat_0;6000,0;403,5382195620999;2,137434782860144;1,1176470588235294;6,6226254665951405
1;_quadrat_0;7000,0;403,5382205908017;2,137434782860144;1,1176470588235294;6,622625469357838
1;_quadrat_0;8000,0;403,5382187304725;2,137434782860144;1,1176470588235294;6,622625465531031
1;_quadrat_0;9000,0;403,5382186354233;2,137434782860144;1,1176470588235294;6,622625466240913
2;_quadrat_0;0,0001;874,200929723138;18,962682651284688;4,291666666666667;3,889781742479615
2;_quadrat_0;0,0002;874,2009298842514;18,962682651284688;4,291666666666667;3,889781742537436
2;_quadrat_0;0,0003;874,2060843076629;18,962682651284688;4,291666666666667;3,8897737673163375
2;_quadrat_0;0,0004;874,2009297346773;18,962682651284688;4,291666666666667;3,8897817426866994
2;_quadrat_0;0,0005;874,2009284986802;18,962682651284688;4,291666666666667;3,889781743957096
2;_quadrat_0;0,0006;874,2009170981453;18,962682651284688;4,291666666666667;3,889781764147621
2;_quadrat_0;0,0007;874,200928986127;18,962682651284688;4,291666666666667;3,889781742944429
2;_quadrat_0;0,0008;874,2009302834176;18,962682651284688;4,291666666666667;3,8897817417484535
2;_quadrat_0;0,0009;874,2009310825131;18,962682651284688;4,291666666666667;3,8897817413299913
2;_quadrat_0;0,001;874,2009322518253;18,962682651284688;4,291666666666667;3,889781739418671
2;_quadrat_0;0,002;874,2009259143337;18,962682651284688;4,291666666666667;3,889781748419169
2;_quadrat_0;0,003;874,20093057956;18,962682651284688;4,291666666666667;3,889781741987568
2;_quadrat_0;0,004;874,2009318543753;18,962682651284688;4,291666666666667;3,8897817398404393
2;_quadrat_0;0,005;874,2038174954816;18,962682651284688;4,291666666666667;3,889777024599693
2;_quadrat_0;0,006;874,2009301677027;18,962682651284688;4,291666666666667;3,889781742437296
2;_quadrat_0;0,007;874,2009349759179;18,962682651284688;4,291666666666667;3,8897817355461592
2;_quadrat_0;0,008;874,2009341440378;18,962682651284688;4,291666666666667;3,889781736810895
2;_quadrat_0;0,009;874,2009314084571;18,962682651284688;4,291666666666667;3,889781741178872
2;_quadrat_0;0,01;874,20093539085;18,962682651284688;4,291666666666667;3,889781735702173
2;_quadrat_0;0,02;874,2009287099776;18,962682651284688;4,291666666666667;3,889781743849852
2;_quadrat_0;0,03;874,2009288957897;18,962682651284688;4,291666666666667;3,889781744844671
2;_quadrat_0;0,04;874,200932318135;18,962682651284688;4,291666666666667;3,8897817392592775
2;_quadrat_0;0,05;874,2009282023022;18,962682651284688;4,291666666666667;3,889781745263439
2;_quadrat_0;0,06;874,2008570696464;18,962682651284688;4,291666666666667;3,8897818502244967
2;_quadrat_0;0,07;874,2009293204042;18,962682651284688;4,291666666666667;3,889781744017935
2;_quadrat_0;0,08;874,2009318731926;18,962682651284688;4,291666666666667;3,889781740309559
2;_quadrat_0;0,09;874,2009267802902;18,962682651284688;4,291666666666667;3,8897817463467352
2;_quadrat_0;0,1;874,2009294929902;18,962682651284688;4,291666666666667;3,889781743112069
2;_quadrat_0;0,2;874,200931659308;18,962682651284688;4,291666666666667;3,889781740854713
2;_quadrat_0;0,3;874,2009303795767;18,962682651284688;4,291666666666667;3,8897817419956895
2;_quadrat_0;0,4;874,2009317575947;18,962682651284688;4,291666666666667;3,8897817400642087
2;_quadrat_0;0,5;874,2009320214595;18,962682651284688;4,291666666666667;3,889781739964981
2;_quadrat_0;0,6000000000000001;874,2009304277466;18,962682651284688;4,291666666666667;3,889781741717959
2;_quadrat_0;0,7000000000000001;874,2009240639774;18,962682651284688;4,291666666666667;3,8897817502122782
2;_quadrat_0;0,8;874,2009337037707;18,962682651284688;4,291666666666667;3,889781738175485
2;_quadrat_0;0,9;874,2009357313755;18,962682651284688;4,291666666666667;3,889781735463516
2;_quadrat_0;1,0;874,2009546103789;18,962682651284688;4,291666666666667;3,889781715659143
2;_quadrat_0;2,0;874,2015628452369;18,962682651284688;4,291666666666667;3,8897807951461223
2;_quadrat_0;3,0;874,2009285087508;18,962682651284688;4,291666666666667;3,889781743216505
2;_quadrat_0;4,0;874,2009334159346;18,962682651284688;4,291666666666667;3,889781738429802
2;_quadrat_0;5,0;874,2009307762032;18,962682651284688;4,291666666666667;3,889781741639984
2;_quadrat_0;6,0;874,2009292819414;18,962682651284688;4,291666666666667;3,8897817433653232
2;_quadrat_0;7,0;874,2017442502223;18,962682651284688;4,291666666666667;3,8897805449743337
2;_quadrat_0;8,0;874,2009238259559;18,962682651284688;4,291666666666667;3,889781751275492
